,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-12-01,46.0578146287131,38.53265295139444,56.441069728504246,46.0578146287131,46.0578146287131,1.6133016138014469,1.6133016138014469,1.6133016138014469,1.6133016138014469,1.6133016138014469,1.6133016138014469,0.0,0.0,0.0,47.67111624251455
1,2023-12-02,46.08283571085204,39.37933854608481,56.61217582519331,46.08283571085204,46.08283571085204,1.823453945611396,1.823453945611396,1.823453945611396,1.823453945611396,1.823453945611396,1.823453945611396,0.0,0.0,0.0,47.906289656463436
2,2023-12-03,46.10785679299097,38.78835461901248,55.356622813716314,46.10785679299097,46.10787989902993,1.1560646292524612,1.1560646292524612,1.1560646292524612,1.1560646292524612,1.1560646292524612,1.1560646292524612,0.0,0.0,0.0,47.263921422243435
3,2023-12-04,46.1328778751299,37.622179129280994,55.03030484274675,46.13285387044243,46.132944710648566,0.21561634581576472,0.21561634581576472,0.21561634581576472,0.21561634581576472,0.21561634581576472,0.21561634581576472,0.0,0.0,0.0,46.34849422094567
4,2023-12-05,46.15789895726883,36.64347952636039,54.70316745720012,46.15782769965773,46.15803563474394,-0.4331831908468766,-0.4331831908468766,-0.4331831908468766,-0.4331831908468766,-0.4331831908468766,-0.4331831908468766,0.0,0.0,0.0,45.72471576642195
5,2023-12-06,46.182920039407755,34.23689349410966,52.26289760914379,46.18276356691361,46.1831380540871,-2.9152380136376204,-2.9152380136376204,-2.9152380136376204,-2.9152380136376204,-2.9152380136376204,-2.9152380136376204,0.0,0.0,0.0,43.267682025770135
6,2023-12-07,46.20794112154668,36.34510774316824,53.2057198517794,46.20769023176061,46.20823132087209,-1.4600153300019783,-1.4600153300019783,-1.4600153300019783,-1.4600153300019783,-1.4600153300019783,-1.4600153300019783,0.0,0.0,0.0,44.7479257915447
7,2023-12-08,46.23296220368561,39.099132175526876,57.064264049098966,46.2326024513105,46.2333479101885,1.6133016138036167,1.6133016138036167,1.6133016138036167,1.6133016138036167,1.6133016138036167,1.6133016138036167,0.0,0.0,0.0,47.84626381748922
8,2023-12-09,46.25798328582455,39.34171707039903,56.52834279926797,46.25753826772073,46.25848517597097,1.8234539456121288,1.8234539456121288,1.8234539456121288,1.8234539456121288,1.8234539456121288,1.8234539456121288,0.0,0.0,0.0,48.08143723143668
9,2023-12-10,46.28300436796348,38.130545288613135,56.08722646464454,46.28242702298652,46.28367564807231,1.1560646292521455,1.1560646292521455,1.1560646292521455,1.1560646292521455,1.1560646292521455,1.1560646292521455,0.0,0.0,0.0,47.43906899721562
10,2023-12-11,46.308025450102406,37.66061755065678,55.71761310602299,46.307302418860196,46.30887503549219,0.21561634581553552,0.21561634581553552,0.21561634581553552,0.21561634581553552,0.21561634581553552,0.21561634581553552,0.0,0.0,0.0,46.52364179591794
11,2023-12-12,46.33304653224133,37.52794355353153,55.01549783002972,46.332178231668195,46.33403202027363,-0.4331831908387906,-0.4331831908387906,-0.4331831908387906,-0.4331831908387906,-0.4331831908387906,-0.4331831908387906,0.0,0.0,0.0,45.89986334140254
12,2023-12-13,46.35806761438026,34.402749946617085,52.639984748348596,46.357095045962026,46.35915034489421,-2.9152380136378433,-2.9152380136378433,-2.9152380136378433,-2.9152380136378433,-2.9152380136378433,-2.9152380136378433,0.0,0.0,0.0,43.442829600742414
13,2023-12-14,46.38308869651919,35.95402400790428,53.87846939490579,46.38199506907797,46.38433902549571,-1.4600153299980043,-1.4600153299980043,-1.4600153299980043,-1.4600153299980043,-1.4600153299980043,-1.4600153299980043,0.0,0.0,0.0,44.92307336652118
14,2023-12-15,46.408109778658115,39.98843644675753,57.019234053492994,46.406861641559985,46.40954374122924,1.6133016138034455,1.6133016138034455,1.6133016138034455,1.6133016138034455,1.6133016138034455,1.6133016138034455,0.0,0.0,0.0,48.02141139246156
15,2023-12-16,46.43313086079706,39.86872057041719,56.48657755626988,46.431747574122625,46.43474465945694,1.8234539456109662,1.8234539456109662,1.8234539456109662,1.8234539456109662,1.8234539456109662,1.8234539456109662,0.0,0.0,0.0,48.25658480640802
16,2023-12-17,46.458151942935984,39.39949344266372,56.66541547151294,46.456617251388074,46.45995836300651,1.1560646292549144,1.1560646292549144,1.1560646292549144,1.1560646292549144,1.1560646292549144,1.1560646292549144,0.0,0.0,0.0,47.6142165721909
17,2023-12-18,46.48317302507491,37.23295406830364,55.57012304698157,46.48149485243366,46.48513722996249,0.2156163458152269,0.2156163458152269,0.2156163458152269,0.2156163458152269,0.2156163458152269,0.2156163458152269,0.0,0.0,0.0,46.69878937089014
18,2023-12-19,46.50819410721384,37.19887252470821,55.249223353538646,46.50635229075517,46.51041379741291,-0.43318319084164325,-0.43318319084164325,-0.43318319084164325,-0.43318319084164325,-0.43318319084164325,-0.43318319084164325,0.0,0.0,0.0,46.07501091637219
19,2023-12-20,46.53321518935277,34.75260420678505,52.10935640481364,46.53118503637441,46.53564069493498,-2.9152380136399128,-2.9152380136399128,-2.9152380136399128,-2.9152380136399128,-2.9152380136399128,-2.9152380136399128,0.0,0.0,0.0,43.61797717571285
20,2023-12-21,46.558236271491694,36.3343313880302,54.111497014076456,46.555970202682126,46.5608896615104,-1.4600153299963532,-1.4600153299963532,-1.4600153299963532,-1.4600153299963532,-1.4600153299963532,-1.4600153299963532,0.0,0.0,0.0,45.09822094149534
